"","n.mar","length","ave.spacing","max.spacing"
"A01",116,163.94107789294,1.42557459037339,12.6474685106534
"A02",52,132.501142295213,2.59806161363164,19.2125361572887
"A03",157,154.144183751896,0.988103741999335,9.37794931585896
"A04",107,91.4384132221756,0.862626539831846,6.28179291969356
"A05",96,155.82740844839,1.64028850998305,14.3783320430125
"A06",251,240.223530440695,0.96089412176278,7.35301943214444
"A07",156,167.253547914036,1.07905514783249,12.5237957735081
"A08",110,110.899417287647,1.01742584667566,12.1466782278127
"A09",198,220.454681780787,1.11905929837963,10.4810510930091
"A10",163,227.614073880156,1.40502514740837,14.1842208113792
"C01",88,165.107784853475,1.89779063049972,12.8162871643304
"C02",47,94.7329791181723,2.05941258952548,13.0823871954724
"C03",120,209.980099438298,1.764538650742,9.67031843893741
"C04",103,182.247971317251,1.78674481683579,13.7298694428262
"C05",36,154.168333865372,4.40480953901062,29.5359409830274
"C06",60,125.140640767514,2.12102780961888,12.2441502075124
"C07",89,153.9079086763,1.74895350768522,9.55432424503376
"C08",46,120.590755871904,2.67979457493119,22.2887626785792
"C09",26,59.710409796775,2.388416391871,13.0242558237244
"overall",2021,2929.884360619,1.46347870160789,29.5359409830274
